,Sex,Age,Height,Weight,Year,Season,Medal,Team,City,Sport,BMI,Lag
9803,F,21.0,191.0,78.0,2004,Summer,Bronze,Russia,Athina,Basketball,21.38,
9855,M,23.0,167.0,63.0,1988,Summer,Gold,Soviet Union,Seoul,Gymnastics,22.59,
9856,M,23.0,167.0,63.0,1988,Summer,Gold,Soviet Union,Seoul,Gymnastics,22.59,
9857,M,23.0,167.0,63.0,1988,Summer,Silver,Soviet Union,Seoul,Gymnastics,22.59,
9859,M,23.0,167.0,63.0,1988,Summer,Gold,Soviet Union,Seoul,Gymnastics,22.59,
9860,M,23.0,167.0,63.0,1988,Summer,Gold,Soviet Union,Seoul,Gymnastics,22.59,
9915,M,20.0,183.0,74.0,1980,Summer,Gold,Sweden,Moskva,Swimming,22.1,
9952,M,25.0,190.0,87.0,1976,Summer,Bronze,Soviet Union,Montreal,Basketball,24.1,
9961,M,24.0,179.0,68.0,1972,Summer,Silver,Soviet Union,Munich,Athletics,21.22,
9990,M,36.0,179.0,76.0,2008,Summer,Silver,Japan,Beijing,Athletics,23.72,
10033,M,22.0,178.0,68.0,1968,Summer,Silver,Kenya,Mexico City,Athletics,21.46,
10035,M,26.0,178.0,68.0,1972,Summer,Gold,Kenya,Munich,Athletics,21.46,
10129,M,29.0,178.0,66.0,1952,Summer,Gold,United States,Helsinki,Athletics,20.83,
10134,F,20.0,164.0,55.0,2016,Summer,Bronze,Great Britain,Rio de Janeiro,Athletics,20.45,
10141,F,27.0,165.0,52.0,1984,Summer,Gold,United States,Los Angeles,Athletics,19.1,
10142,F,27.0,165.0,52.0,1984,Summer,Gold,United States,Los Angeles,Athletics,19.1,
10143,F,31.0,165.0,52.0,1988,Summer,Silver,United States,Seoul,Athletics,19.1,
10144,F,31.0,165.0,52.0,1988,Summer,Gold,United States,Seoul,Athletics,19.1,
10146,F,35.0,165.0,52.0,1992,Summer,Gold,United States,Barcelona,Athletics,19.1,
10176,M,26.0,183.0,77.0,2016,Summer,Gold,Jamaica,Rio de Janeiro,Athletics,22.99,
10200,F,23.0,173.0,64.0,2016,Summer,Silver,Australia,Rio de Janeiro,Swimming,21.38,
10201,M,22.0,180.0,75.0,1964,Summer,Gold,United States,Tokyo,Athletics,23.15,
10263,M,26.0,174.0,65.0,1936,Summer,Silver,Finland,Berlin,Athletics,21.47,
10291,F,27.0,166.0,56.0,2016,Summer,Silver,Sweden,Rio de Janeiro,Football,20.32,
10372,F,24.0,167.0,52.0,2012,Summer,Bronze,Ethiopia,London,Athletics,18.65,
10402,F,23.0,181.0,59.0,1992,Summer,Silver,Romania,Barcelona,Athletics,18.01,
10406,F,20.0,166.0,56.0,1956,Summer,Gold,Soviet Union,Melbourne,Gymnastics,20.32,
10407,F,20.0,166.0,56.0,1956,Summer,Bronze,Soviet Union,Melbourne,Gymnastics,20.32,
10412,F,23.0,166.0,56.0,1960,Summer,Bronze,Soviet Union,Roma,Gymnastics,20.32,
10413,F,23.0,166.0,56.0,1960,Summer,Gold,Soviet Union,Roma,Gymnastics,20.32,
10414,F,23.0,166.0,56.0,1960,Summer,Silver,Soviet Union,Roma,Gymnastics,20.32,
10416,F,23.0,166.0,56.0,1960,Summer,Gold,Soviet Union,Roma,Gymnastics,20.32,
10418,F,27.0,166.0,56.0,1964,Summer,Bronze,Soviet Union,Tokyo,Gymnastics,20.32,
10419,F,27.0,166.0,56.0,1964,Summer,Gold,Soviet Union,Tokyo,Gymnastics,20.32,
10420,F,27.0,166.0,56.0,1964,Summer,Silver,Soviet Union,Tokyo,Gymnastics,20.32,
10422,F,27.0,166.0,56.0,1964,Summer,Gold,Soviet Union,Tokyo,Gymnastics,20.32,
10426,M,29.0,192.0,120.0,1992,Summer,Silver,Unified Team,Barcelona,Athletics,32.55,
10428,M,37.0,192.0,120.0,2000,Summer,Bronze,Belarus,Sydney,Athletics,32.55,
10430,M,30.0,186.0,82.0,1976,Summer,Bronze,Soviet Union,Montreal,Football,23.7,
10438,M,23.0,185.0,81.0,1984,Summer,Bronze,Great Britain,Los Angeles,Swimming,23.67,
10666,M,23.0,186.0,76.0,1924,Summer,Silver,South Africa,Paris,Athletics,21.97,
10668,M,27.0,186.0,76.0,1928,Summer,Gold,South Africa,Amsterdam,Athletics,21.97,
10748,F,19.0,170.0,66.0,1972,Summer,Bronze,United States,Munich,Swimming,22.84,
10749,F,19.0,170.0,66.0,1972,Summer,Silver,United States,Munich,Swimming,22.84,
10750,F,19.0,170.0,66.0,1972,Summer,Gold,United States,Munich,Swimming,22.84,
10838,M,24.0,174.0,75.0,2004,Summer,Bronze,Nigeria,Athina,Athletics,24.77,
10850,F,22.0,168.0,58.0,1980,Summer,Bronze,East Germany,Moskva,Athletics,20.55,
10851,F,22.0,168.0,58.0,1980,Summer,Gold,East Germany,Moskva,Athletics,20.55,
10852,F,31.0,168.0,58.0,1988,Summer,Silver,East Germany,Seoul,Athletics,20.55,
10898,M,20.0,200.0,87.0,1988,Summer,Bronze,United States,Seoul,Basketball,21.75,
10928,F,24.0,183.0,74.0,2008,Summer,Gold,United States,Beijing,Basketball,22.1,
10929,F,28.0,183.0,74.0,2012,Summer,Gold,United States,London,Basketball,22.1,
10930,F,32.0,183.0,74.0,2016,Summer,Gold,United States,Rio de Janeiro,Basketball,22.1,
10964,M,24.0,189.0,88.0,1964,Summer,Silver,Soviet Union,Tokyo,Athletics,24.64,
11027,M,28.0,183.0,77.0,1996,Summer,Gold,United States,Atlanta,Athletics,22.99,
11035,M,21.0,185.0,85.0,1964,Summer,Gold,United States,Tokyo,Swimming,24.84,
11114,M,24.0,202.0,82.0,1988,Summer,Gold,Soviet Union,Seoul,Athletics,20.1,
11198,M,24.0,191.0,89.0,1972,Summer,Gold,Soviet Union,Munich,Athletics,24.4,
11199,M,27.0,191.0,89.0,1976,Summer,Bronze,Soviet Union,Montreal,Athletics,24.4,
11269,M,19.0,172.0,74.0,2000,Summer,Gold,Nigeria,Sydney,Athletics,25.01,
11321,M,23.0,176.0,72.0,1984,Summer,Gold,France,Los Angeles,Football,23.24,
11338,M,23.0,177.0,75.0,1996,Summer,Silver,Argentina,Atlanta,Football,23.94,
11339,M,31.0,177.0,75.0,2004,Summer,Gold,Argentina,Athina,Football,23.94,
11345,F,24.0,166.0,47.0,2016,Summer,Bronze,Ethiopia,Rio de Janeiro,Athletics,17.06,
11346,F,24.0,166.0,47.0,2016,Summer,Gold,Ethiopia,Rio de Janeiro,Athletics,17.06,
11487,M,20.0,188.0,84.0,2000,Summer,Silver,Jamaica,Sydney,Athletics,23.77,
11537,M,27.0,174.0,72.0,1956,Summer,Gold,Soviet Union,Melbourne,Gymnastics,23.78,
11542,M,27.0,174.0,72.0,1956,Summer,Gold,Soviet Union,Melbourne,Gymnastics,23.78,
11545,M,31.0,174.0,72.0,1960,Summer,Silver,Soviet Union,Roma,Gymnastics,23.78,
11550,M,31.0,174.0,72.0,1960,Summer,Gold,Soviet Union,Roma,Gymnastics,23.78,
11553,M,22.0,175.0,68.0,1980,Summer,Gold,Soviet Union,Moskva,Gymnastics,22.2,
11654,M,19.0,170.0,68.0,2016,Summer,Bronze,Nigeria,Rio de Janeiro,Football,23.53,
11673,F,27.0,172.0,64.0,1996,Summer,Gold,United States,Atlanta,Basketball,21.63,
11690,F,21.0,183.0,78.0,1984,Summer,Bronze,China,Los Angeles,Basketball,23.29,
11705,M,29.0,183.0,65.0,2008,Summer,Bronze,France,Beijing,Athletics,19.41,
11736,M,19.0,199.0,86.0,2004,Summer,Bronze,Czech Republic,Athina,Athletics,21.72,
11754,F,29.0,180.0,60.0,1996,Summer,Bronze,Ukraine,Atlanta,Athletics,18.52,
11766,M,22.0,169.0,69.0,1996,Summer,Gold,Nigeria,Atlanta,Football,24.16,
11767,F,21.0,173.0,62.0,1964,Summer,Bronze,Soviet Union,Tokyo,Swimming,20.72,
11768,F,21.0,173.0,62.0,1964,Summer,Bronze,Soviet Union,Tokyo,Swimming,20.72,
11774,M,21.0,191.0,84.0,1976,Summer,Silver,United States,Montreal,Swimming,23.03,
11775,M,21.0,191.0,84.0,1976,Summer,Gold,United States,Montreal,Swimming,23.03,
11776,F,15.0,178.0,67.0,1972,Summer,Silver,United States,Munich,Swimming,21.15,
11777,F,15.0,178.0,67.0,1972,Summer,Silver,United States,Munich,Swimming,21.15,
11779,F,15.0,178.0,67.0,1972,Summer,Gold,United States,Munich,Swimming,21.15,
11780,F,15.0,178.0,67.0,1972,Summer,Gold,United States,Munich,Swimming,21.15,
11782,F,19.0,178.0,67.0,1976,Summer,Silver,United States,Montreal,Swimming,21.15,
11783,F,19.0,178.0,67.0,1976,Summer,Silver,United States,Montreal,Swimming,21.15,
11784,F,19.0,178.0,67.0,1976,Summer,Silver,United States,Montreal,Swimming,21.15,
11785,F,19.0,178.0,67.0,1976,Summer,Gold,United States,Montreal,Swimming,21.15,
11786,F,19.0,178.0,67.0,1976,Summer,Silver,United States,Montreal,Swimming,21.15,
11788,M,17.0,173.0,66.0,1996,Summer,Gold,Nigeria,Atlanta,Football,22.05,
11803,M,21.0,188.0,75.0,1912,Summer,Gold,United States,Stockholm,Athletics,21.22,
11818,M,22.0,188.0,70.0,1984,Summer,Gold,United States,Los Angeles,Athletics,19.81,
11819,M,22.0,188.0,70.0,1984,Summer,Gold,United States,Los Angeles,Athletics,19.81,
11878,M,23.0,195.0,121.0,1960,Summer,Silver,United States,Roma,Athletics,31.82,
12057,F,21.0,174.0,63.0,2004,Summer,Bronze,Germany,Athina,Football,20.81,
12114,M,17.0,183.0,77.0,1972,Summer,Bronze,United States,Munich,Swimming,22.99,
12119,M,23.0,195.0,102.0,1992,Summer,Bronze,Great Britain,Barcelona,Athletics,26.82,
12120,M,27.0,195.0,102.0,1996,Summer,Silver,Great Britain,Atlanta,Athletics,26.82,
12121,M,31.0,195.0,102.0,2000,Summer,Silver,Great Britain,Sydney,Athletics,26.82,
12137,M,23.0,172.0,64.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,21.63,
12139,M,23.0,172.0,64.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,21.63,
12140,M,23.0,172.0,64.0,1920,Summer,Silver,Sweden,Antwerpen,Athletics,21.63,
12141,M,23.0,172.0,64.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,21.63,
12167,M,23.0,183.0,77.0,1908,Summer,Gold,United States,London,Athletics,22.99,
12221,M,31.0,188.0,79.0,2000,Summer,Gold,Nigeria,Sydney,Athletics,22.35,
12260,M,21.0,173.0,68.0,1964,Summer,Bronze,Poland,Tokyo,Athletics,22.72,
12399,M,20.0,171.0,66.0,2012,Summer,Bronze,South Korea,London,Football,22.57,
12502,F,31.0,170.0,76.0,1952,Summer,Silver,Soviet Union,Helsinki,Athletics,26.3,
12515,M,29.0,194.0,135.0,1996,Summer,Bronze,Ukraine,Atlanta,Athletics,35.87,
12540,M,27.0,190.0,88.0,1964,Summer,Silver,Soviet Union,Tokyo,Basketball,24.38,
12557,M,29.0,189.0,93.0,1980,Summer,Silver,East Germany,Moskva,Football,26.04,
12616,F,32.0,162.0,58.0,1988,Summer,Silver,Soviet Union,Seoul,Athletics,22.1,
12625,F,17.0,170.0,65.0,1968,Summer,Gold,United States,Mexico City,Athletics,22.49,
12630,F,23.0,170.0,64.0,2004,Summer,Gold,Jamaica,Athina,Athletics,22.15,
12634,F,22.0,157.0,56.0,1984,Summer,Silver,Canada,Los Angeles,Athletics,22.72,
12653,M,28.0,183.0,82.0,1996,Summer,Gold,Canada,Atlanta,Athletics,24.49,
12654,M,28.0,183.0,82.0,1996,Summer,Gold,Canada,Atlanta,Athletics,24.49,
12684,M,31.0,180.0,65.0,1952,Summer,Bronze,Great Britain,Helsinki,Athletics,20.06,
12704,M,20.0,193.0,84.0,2012,Summer,Gold,Jamaica,London,Athletics,22.55,
12705,M,24.0,193.0,84.0,2016,Summer,Gold,Jamaica,Rio de Janeiro,Athletics,22.55,
12748,M,22.0,175.0,65.0,2008,Summer,Silver,Bahamas,Beijing,Athletics,21.22,
12751,F,18.0,181.0,67.0,2008,Summer,Gold,Australia,Beijing,Swimming,20.45,
12752,F,22.0,181.0,67.0,2012,Summer,Silver,Australia,London,Swimming,20.45,
12767,M,21.0,175.0,66.0,1928,Summer,Gold,United States,Amsterdam,Athletics,21.55,
12780,F,16.0,152.0,39.0,1988,Summer,Gold,Soviet Union,Seoul,Gymnastics,16.88,
12839,F,18.0,176.0,67.0,1988,Summer,Silver,Yugoslavia,Seoul,Basketball,21.63,
12844,M,22.0,183.0,77.0,1992,Summer,Silver,Poland,Barcelona,Football,22.99,
12845,F,20.0,170.0,58.0,2008,Summer,Bronze,Germany,Beijing,Football,20.07,
12906,F,19.0,173.0,68.0,2016,Summer,Silver,United States,Rio de Janeiro,Swimming,22.72,
12907,F,19.0,173.0,68.0,2016,Summer,Gold,United States,Rio de Janeiro,Swimming,22.72,
12908,F,24.0,170.0,62.0,2012,Summer,Gold,United States,London,Athletics,21.45,
12939,M,20.0,183.0,72.0,1952,Summer,Silver,United States,Helsinki,Athletics,21.5,
12940,M,25.0,183.0,72.0,1956,Summer,Silver,United States,Melbourne,Athletics,21.5,
12941,M,25.0,183.0,72.0,1956,Summer,Bronze,United States,Melbourne,Athletics,21.5,
12942,M,25.0,183.0,72.0,1956,Summer,Gold,United States,Melbourne,Athletics,21.5,
12944,M,28.0,207.0,109.0,2000,Summer,Gold,United States,Sydney,Basketball,25.44,
13033,F,28.0,170.0,52.0,1996,Summer,Silver,Greece,Atlanta,Athletics,17.99,
13124,M,21.0,195.0,85.0,2016,Summer,Gold,Kazakhstan,Rio de Janeiro,Swimming,22.35,
13140,F,23.0,185.0,72.0,1960,Summer,Gold,Romania,Roma,Athletics,21.04,
13141,F,27.0,185.0,72.0,1964,Summer,Gold,Romania,Tokyo,Athletics,21.04,
13302,M,33.0,176.0,62.0,2004,Summer,Gold,Italy,Athina,Athletics,20.02,
13308,M,22.0,169.0,66.0,1936,Summer,Gold,Italy,Berlin,Football,23.11,
13369,M,24.0,180.0,78.0,1972,Summer,Silver,Hungary,Munich,Football,24.07,
13372,M,22.0,185.0,80.0,1984,Summer,Bronze,Yugoslavia,Los Angeles,Football,23.37,
13403,F,17.0,170.0,58.0,1968,Summer,Gold,United States,Mexico City,Swimming,20.07,
13405,M,25.0,180.0,69.0,1928,Summer,Silver,Canada,Amsterdam,Athletics,21.3,
13406,M,25.0,180.0,69.0,1928,Summer,Bronze,Canada,Amsterdam,Athletics,21.3,
13408,M,29.0,180.0,69.0,1932,Summer,Bronze,Canada,Los Angeles,Athletics,21.3,
13552,F,25.0,180.0,67.0,2012,Summer,Bronze,France,London,Swimming,20.68,
13653,M,22.0,181.0,75.0,1980,Summer,Bronze,Soviet Union,Moskva,Football,22.89,
13663,M,26.0,178.0,68.0,1936,Summer,Gold,United States,Berlin,Basketball,21.46,
13678,M,24.0,193.0,92.0,1988,Summer,Silver,East Germany,Seoul,Swimming,24.7,
13723,M,22.0,180.0,75.0,1968,Summer,Bronze,France,Mexico City,Athletics,23.15,
13741,F,18.0,139.0,36.0,2004,Summer,Gold,Romania,Athina,Gymnastics,18.63,
13811,M,20.0,175.0,73.0,2008,Summer,Gold,Argentina,Beijing,Football,23.84,
14037,M,20.0,203.0,93.0,1972,Summer,Silver,United States,Munich,Basketball,22.57,
14092,M,22.0,184.0,79.0,1984,Summer,Silver,United States,Los Angeles,Athletics,23.33,
14220,F,20.0,192.0,80.0,1992,Summer,Gold,Unified Team,Barcelona,Basketball,21.7,
14222,F,32.0,192.0,80.0,2004,Summer,Bronze,Russia,Athina,Basketball,21.7,
14313,F,20.0,171.0,71.0,2008,Summer,Silver,Brazil,Beijing,Football,24.28,
14453,M,22.0,183.0,82.0,1928,Summer,Gold,United States,Amsterdam,Athletics,24.49,
14454,M,22.0,183.0,82.0,1928,Summer,Gold,United States,Amsterdam,Athletics,24.49,
14500,F,20.0,172.0,63.0,2004,Summer,Bronze,Argentina,Athina,Swimming,21.3,
14553,M,22.0,179.0,77.0,2004,Summer,Silver,Paraguay,Athina,Football,24.03,
14555,F,28.0,190.0,78.0,1988,Summer,Bronze,Soviet Union,Seoul,Basketball,21.61,
14629,M,27.0,188.0,84.0,1948,Summer,Gold,United States,London,Basketball,23.77,
14656,M,29.0,198.0,114.0,1992,Summer,Gold,United States,Barcelona,Basketball,29.08,
14657,M,33.0,198.0,114.0,1996,Summer,Gold,United States,Atlanta,Basketball,29.08,
14659,F,17.0,169.0,61.0,1968,Summer,Bronze,United States,Mexico City,Swimming,21.36,
14660,F,17.0,169.0,61.0,1968,Summer,Gold,United States,Mexico City,Swimming,21.36,
14661,F,20.0,169.0,61.0,1972,Summer,Gold,United States,Munich,Swimming,21.36,
14670,M,25.0,198.0,91.0,1948,Summer,Gold,United States,London,Basketball,23.21,
14704,M,26.0,186.0,87.0,1936,Summer,Silver,Finland,Berlin,Athletics,25.15,
14717,M,23.0,180.0,77.0,1952,Summer,Bronze,United States,Helsinki,Athletics,23.77,
14744,M,24.0,203.0,102.0,2016,Summer,Gold,United States,Rio de Janeiro,Basketball,24.75,
14746,M,23.0,201.0,109.0,1964,Summer,Gold,United States,Tokyo,Basketball,26.98,
14759,M,17.0,173.0,68.0,1924,Summer,Gold,United States,Paris,Athletics,22.72,
14770,M,22.0,195.0,132.0,1988,Summer,Silver,United States,Seoul,Athletics,34.71,
14771,M,30.0,195.0,132.0,1996,Summer,Gold,United States,Atlanta,Athletics,34.71,
14828,M,18.0,193.0,83.0,1980,Summer,Gold,Sweden,Moskva,Swimming,22.28,
14830,M,22.0,193.0,83.0,1984,Summer,Bronze,Sweden,Los Angeles,Swimming,22.28,
14882,F,16.0,178.0,60.0,1988,Summer,Silver,United States,Seoul,Swimming,18.94,
14896,M,28.0,183.0,78.0,1948,Summer,Silver,France,London,Basketball,23.29,
14914,F,19.0,171.0,59.0,2008,Summer,Gold,Australia,Beijing,Swimming,20.18,
14915,F,23.0,171.0,59.0,2012,Summer,Bronze,Australia,London,Swimming,20.18,
14917,F,23.0,171.0,59.0,2012,Summer,Silver,Australia,London,Swimming,20.18,
14919,F,27.0,171.0,59.0,2016,Summer,Silver,Australia,Rio de Janeiro,Swimming,20.18,
14936,M,21.0,174.0,66.0,1980,Summer,Bronze,France,Moskva,Athletics,21.8,
14937,M,21.0,172.0,63.0,1980,Summer,Bronze,France,Moskva,Athletics,21.3,
14979,M,23.0,182.0,78.0,2004,Summer,Silver,Paraguay,Athina,Football,23.55,
14980,M,20.0,178.0,78.0,2004,Summer,Silver,Paraguay,Athina,Football,24.62,
14989,F,21.0,183.0,64.0,2012,Summer,Silver,United States,London,Athletics,19.11,
15010,M,25.0,188.0,73.0,1968,Summer,Gold,United States,Mexico City,Basketball,20.65,
15062,F,29.0,166.0,53.0,2016,Summer,Bronze,United States,Rio de Janeiro,Athletics,19.23,
15084,F,25.0,172.0,89.0,2008,Summer,Silver,Cuba,Beijing,Athletics,30.08,
15099,M,25.0,183.0,64.0,1920,Summer,Silver,United States,Antwerpen,Athletics,19.11,
15103,M,21.0,178.0,60.0,2012,Summer,Silver,Guatemala,London,Athletics,18.94,
15139,M,23.0,180.0,75.0,1992,Summer,Gold,United States,Barcelona,Swimming,23.15,
15196,M,21.0,190.0,65.0,2012,Summer,Bronze,Qatar,London,Athletics,18.01,
15197,M,25.0,190.0,65.0,2016,Summer,Silver,Qatar,Rio de Janeiro,Athletics,18.01,
15279,M,23.0,174.0,70.0,1956,Summer,Silver,Soviet Union,Melbourne,Athletics,23.12,
15281,M,26.0,174.0,70.0,1960,Summer,Silver,Soviet Union,Roma,Athletics,23.12,
15317,M,25.0,173.0,68.0,1952,Summer,Gold,Luxembourg,Helsinki,Athletics,22.72,
15325,M,23.0,173.0,71.0,1964,Summer,Bronze,Germany,Tokyo,Football,23.72,
15528,F,33.0,170.0,60.0,2016,Summer,Gold,Germany,Rio de Janeiro,Football,20.76,
15569,F,21.0,168.0,67.0,1976,Summer,Gold,Soviet Union,Montreal,Basketball,23.74,
15570,F,25.0,168.0,67.0,1980,Summer,Gold,Soviet Union,Moskva,Basketball,23.74,
15572,M,27.0,198.0,130.0,1976,Summer,Bronze,Soviet Union,Montreal,Athletics,33.16,
15573,M,31.0,198.0,130.0,1980,Summer,Silver,Soviet Union,Moskva,Athletics,33.16,
15581,M,23.0,190.0,82.0,2004,Summer,Bronze,Italy,Athina,Football,22.71,
15628,M,20.0,190.0,85.0,1988,Summer,Silver,Soviet Union,Seoul,Swimming,23.55,
15629,M,24.0,190.0,85.0,1992,Summer,Silver,Unified Team,Barcelona,Swimming,23.55,
15640,M,29.0,181.0,80.0,2016,Summer,Bronze,France,Rio de Janeiro,Athletics,24.42,
15687,M,29.0,192.0,94.0,2004,Summer,Silver,Italy,Athina,Basketball,25.5,
15720,M,22.0,167.0,59.0,1932,Summer,Gold,United States,Los Angeles,Gymnastics,21.16,
15729,M,23.0,176.0,74.0,1996,Summer,Silver,Argentina,Atlanta,Football,23.89,
15780,M,24.0,174.0,62.0,1968,Summer,Gold,Hungary,Mexico City,Football,20.48,
15789,M,20.0,172.0,70.0,1920,Summer,Gold,Belgium,Antwerpen,Football,23.66,
15860,M,23.0,183.0,70.0,1928,Summer,Bronze,United States,Amsterdam,Athletics,20.9,
15869,M,22.0,180.0,86.0,1992,Summer,Bronze,United States,Barcelona,Athletics,26.54,
15904,M,27.0,179.0,68.0,1988,Summer,Silver,Brazil,Seoul,Football,21.22,
15934,F,23.0,195.0,89.0,2004,Summer,Silver,Australia,Athina,Basketball,23.41,
15935,F,27.0,195.0,89.0,2008,Summer,Silver,Australia,Beijing,Basketball,23.41,
15936,F,31.0,195.0,89.0,2012,Summer,Bronze,Australia,London,Basketball,23.41,
16009,F,27.0,170.0,57.0,1996,Summer,Silver,United States,Atlanta,Athletics,19.72,
16042,M,18.0,176.0,61.0,1988,Summer,Bronze,Italy,Seoul,Swimming,19.69,
16045,M,22.0,176.0,61.0,1992,Summer,Bronze,Italy,Barcelona,Swimming,19.69,
16095,M,25.0,182.0,82.0,1964,Summer,Bronze,Germany,Tokyo,Football,24.76,
16220,M,21.0,183.0,76.0,2016,Summer,Silver,Germany,Rio de Janeiro,Football,22.69,
16243,F,18.0,158.0,43.0,1968,Summer,Bronze,East Germany,Mexico City,Gymnastics,17.22,
16263,M,23.0,173.0,71.0,1996,Summer,Silver,Great Britain,Atlanta,Athletics,23.72,
16270,M,24.0,180.0,77.0,1980,Summer,Silver,East Germany,Moskva,Football,23.77,
16272,F,33.0,161.0,68.0,1948,Summer,Gold,Austria,London,Athletics,26.23,
16285,M,20.0,189.0,80.0,1984,Summer,Gold,Canada,Los Angeles,Swimming,22.4,
16286,M,20.0,189.0,80.0,1984,Summer,Gold,Canada,Los Angeles,Swimming,22.4,
16293,M,23.0,178.0,62.0,1988,Summer,Silver,West Germany,Seoul,Athletics,19.57,
16294,M,27.0,178.0,62.0,1992,Summer,Gold,Germany,Barcelona,Athletics,19.57,
16369,M,21.0,176.0,61.0,1976,Summer,Bronze,East Germany,Montreal,Athletics,19.69,
16379,M,23.0,190.0,71.0,1972,Summer,Silver,West Germany,Munich,Athletics,19.67,
16433,M,26.0,188.0,95.0,1932,Summer,Gold,United States,Los Angeles,Athletics,26.88,
16448,M,23.0,170.0,68.0,1976,Summer,Gold,Mexico,Montreal,Athletics,23.53,
16592,M,27.0,183.0,59.0,1980,Summer,Silver,Tanzania,Moskva,Athletics,17.62,
16594,M,19.0,173.0,52.0,1992,Summer,Bronze,Ethiopia,Barcelona,Athletics,17.37,
16711,M,23.0,178.0,75.0,1984,Summer,Bronze,Yugoslavia,Los Angeles,Football,23.67,
16830,M,22.0,191.0,70.0,1968,Summer,Gold,United States,Mexico City,Athletics,19.19,
16846,M,23.0,184.0,82.0,1952,Summer,Silver,Yugoslavia,Helsinki,Football,24.22,
16847,F,14.0,173.0,59.0,1996,Summer,Silver,United States,Atlanta,Swimming,19.71,
16848,F,14.0,173.0,59.0,1996,Summer,Silver,United States,Atlanta,Swimming,19.71,
16849,F,14.0,173.0,59.0,1996,Summer,Gold,United States,Atlanta,Swimming,19.71,
16850,F,18.0,173.0,59.0,2000,Summer,Bronze,United States,Sydney,Swimming,19.71,
16852,F,22.0,173.0,59.0,2004,Summer,Gold,United States,Athina,Swimming,19.71,
16853,F,22.0,173.0,59.0,2004,Summer,Silver,United States,Athina,Swimming,19.71,
16854,F,22.0,173.0,59.0,2004,Summer,Silver,United States,Athina,Swimming,19.71,
16861,M,24.0,193.0,84.0,1932,Summer,Silver,United States,Los Angeles,Athletics,22.55,
16862,M,20.0,178.0,79.0,1948,Summer,Gold,United States,London,Basketball,24.93,
16923,M,19.0,184.0,81.0,2000,Summer,Gold,Cameroon,Sydney,Football,23.92,
16970,M,16.0,170.0,65.0,1908,Summer,Silver,Australasia,London,Swimming,22.49,
16971,M,16.0,170.0,65.0,1908,Summer,Bronze,Australasia,London,Swimming,22.49,
16974,M,28.0,170.0,65.0,1920,Summer,Bronze,Australia,Antwerpen,Swimming,22.49,
16975,M,28.0,170.0,65.0,1920,Summer,Silver,Australia,Antwerpen,Swimming,22.49,
16977,M,32.0,170.0,65.0,1924,Summer,Bronze,Australia,Paris,Swimming,22.49,
16978,M,32.0,170.0,65.0,1924,Summer,Silver,Australia,Paris,Swimming,22.49,
17002,M,24.0,177.0,69.0,1988,Summer,Silver,Brazil,Seoul,Football,22.02,
17003,M,32.0,177.0,69.0,1996,Summer,Bronze,Brazil,Atlanta,Football,22.02,
17036,M,24.0,169.0,63.0,1932,Summer,Gold,Italy,Los Angeles,Athletics,22.06,
17037,M,28.0,169.0,63.0,1936,Summer,Bronze,Italy,Berlin,Athletics,22.06,
17115,F,22.0,185.0,75.0,1980,Summer,Bronze,Yugoslavia,Moskva,Basketball,21.91,
17149,M,26.0,183.0,75.0,1948,Summer,Gold,United States,London,Basketball,22.4,
17158,M,24.0,191.0,82.0,1980,Summer,Gold,East Germany,Moskva,Athletics,22.48,
17159,M,24.0,191.0,82.0,1980,Summer,Silver,East Germany,Moskva,Athletics,22.48,
17212,F,26.0,167.0,63.0,1976,Summer,Silver,West Germany,Montreal,Athletics,22.59,
17281,M,21.0,178.0,78.0,1996,Summer,Silver,Jamaica,Atlanta,Athletics,24.62,
17285,F,21.0,173.0,63.0,2016,Summer,Bronze,Canada,Rio de Janeiro,Football,21.05,
17291,F,19.0,162.0,59.0,1960,Summer,Silver,Australia,Roma,Swimming,22.48,
17303,F,17.0,174.0,62.0,1972,Summer,Bronze,West Germany,Munich,Swimming,20.48,
17305,F,17.0,174.0,62.0,1972,Summer,Bronze,West Germany,Munich,Swimming,20.48,
17360,F,35.0,169.0,52.0,2000,Summer,Silver,Romania,Sydney,Athletics,18.21,
17443,F,27.0,172.0,61.0,2000,Summer,Gold,United States,Sydney,Swimming,20.62,
17527,M,25.0,176.0,74.0,1968,Summer,Silver,East Germany,Mexico City,Athletics,23.89,
17668,F,27.0,174.0,62.0,1988,Summer,Bronze,East Germany,Seoul,Athletics,20.48,
17699,M,24.0,161.0,60.0,1988,Summer,Silver,East Germany,Seoul,Gymnastics,23.15,
17703,M,24.0,161.0,60.0,1988,Summer,Bronze,East Germany,Seoul,Gymnastics,23.15,
17704,M,24.0,161.0,60.0,1988,Summer,Gold,East Germany,Seoul,Gymnastics,23.15,
17711,F,21.0,177.0,64.0,1988,Summer,Silver,East Germany,Seoul,Athletics,20.43,
17731,F,22.0,172.0,71.0,2008,Summer,Bronze,Germany,Beijing,Football,24.0,
17732,F,30.0,172.0,71.0,2016,Summer,Gold,Germany,Rio de Janeiro,Football,24.0,
17737,M,26.0,167.0,61.0,1968,Summer,Bronze,East Germany,Mexico City,Gymnastics,21.87,
